date,close,btc_return,regime,exposure,position_held,strategy_return,equity_strategy,equity_buy_hold
2025-08-10,116510.08393213755,-0.0015278532459491734,RANGE_BOUND,0.4,0.4,-0.0006111412983796694,10873.520565506116,11125.581123869619
2025-08-11,119266.92516880555,0.02366182517106208,RISK_ON,1.0,0.4,0.009464730068424833,10976.435502552098,11388.83267934909
2025-08-12,118773.79960860992,-0.004134637993707724,RISK_ON,1.0,1.0,-0.004734637993707724,10924.466053986233,11341.743979049073
2025-08-13,120202.53485503166,0.012029043872721079,RISK_ON,1.0,1.0,0.012029043872721079,11055.876935435685,11478.174314966223
2025-08-14,123560.99363577305,0.027939999641370283,RISK_ON,1.0,1.0,0.027939999641370283,11364.778133046791,11798.874501209964
2025-08-15,118405.59579823953,-0.041723505823612395,RANGE_BOUND,0.4,1.0,-0.041723505823612395,10890.59974642855,11306.58409224666
2025-08-16,117339.79190213277,-0.009001296677927928,RANGE_BOUND,0.4,0.4,-0.004200518671171171,10844.853578853426,11204.810174418408
2025-08-17,117501.21653394958,0.0013757023870593077,RANGE_BOUND,0.4,0.4,0.0005502809548237231,10850.821295235719,11220.2246585219
2025-08-18,117542.83687778088,0.0003542120248538616,RANGE_BOUND,0.4,0.4,0.00014168480994154465,10852.358691788646,11224.19899701751
2025-08-19,116256.41276740946,-0.010944300346511282,RANGE_BOUND,0.4,0.4,-0.004377720138604513,10804.850102592243,11101.35799204514
2025-08-20,112778.34483555844,-0.029917213588978364,RISK_OFF,0.2,0.4,-0.011966885435591346,10675.549699265785,10769.236293869413
2025-08-21,114252.39755195397,0.01307035245591548,RISK_OFF,0.2,0.2,0.002414070491183096,10701.32122877194,10909.994007911324
2025-08-22,112414.39987336512,-0.016087169442138394,RISK_OFF,0.2,0.2,-0.003217433888427679,10666.890435199539,10734.48308569334
2025-08-23,116834.24948202295,0.03931746834601957,RANGE_BOUND,0.4,0.2,0.007863493669203914,10750.769460606822,11156.535784625972
