date,close,volume,fear_greed,rsi,macd,macd_signal,macd_hist,fear_greed_smooth,log_return,realized_vol,vol_zscore,funding_proxy_return,funding_proxy_vol,funding_proxy_sharpe,flow_proxy_signed,flow_proxy_norm,composite,drawdown,recent_return,score_momentum,score_fear_greed,score_volatility,score_funding,score_exchange_flows,regime,target_exposure
2026-04-06,68985.52642694542,26416194024.766064,13.0,50.871822734114986,-688.1705789223779,-685.9638891412575,-2.206689781120417,11.4,0.024673342526370184,0.42524280141536397,-0.3503880937304725,0.016613899618412677,0.022028767136800975,0.20156604395747135,10568138394.37376,0.2627357264113912,0.048446553818479635,-0.28886604903241897,0.04570377179196794,0.0145718135933882,-0.772,0.33671968089802506,0.667524237900662,0.5762561461377342,RANGE_BOUND,0.4
2026-04-07,68864.23452757328,45398732027.77202,11.0,50.4611505697602,-567.1894811274979,-662.2090075385056,95.01952641100775,11.2,-0.0017597699094081445,0.401643893866151,-0.4593146965824607,-0.0290323244910636,0.018282088548835014,-0.4244162300362882,-1217178085.9678333,-0.02974740606967593,-0.2619003290449977,-0.2901163806902083,0.03245852641008229,0.06357693662680355,-0.7759999999999999,0.4295255056376576,-0.9351165241081301,-0.07423171508311971,RISK_OFF,0.2
2026-04-08,71975.62171045873,54821363017.72348,17.0,59.494331640362894,-217.73819640130387,-573.3148453110653,355.5766489097614,12.8,0.04419052357126138,0.4466815852593412,-0.24449538408939844,0.020367140406815348,0.022016246790706462,0.24724228843709845,-1415658780.8875427,-0.03407151053974778,0.061823065423223356,-0.25804279692625254,0.054868691110775414,0.37023370244536924,-0.7440000000000001,0.23973730862977613,0.7569224257101809,-0.08497336974253956,RANGE_BOUND,0.4
2026-04-09,71117.07713411814,42583999503.6708,14.0,56.4362677180248,-9.958116778027033,-460.64349960445765,450.6853828264306,13.4,-0.011999981630813705,0.42198036094089153,-0.3563007803488125,-0.0026987566977876246,0.02210456177064405,-0.03263005501552536,-810224446.6997986,-0.019655250356500897,-0.04738598417552389,-0.2668930620220973,0.044471490094199595,0.3705123102196597,-0.732,0.3419515091504392,-0.12978407561808297,-0.04909861514183514,RANGE_BOUND,0.4
2026-04-10,71770.7468500515,39293023566.96442,16.0,58.19803237366969,205.09061943179404,-327.49667579720733,532.5872952290014,14.2,0.009149474850255012,0.41466633631887767,-0.3860065888078551,0.04240243243755415,0.0196414645117428,0.5769695404633983,11545725662.661144,0.2841639676540493,0.24865223928797442,-0.26015473948118273,0.0729400638006159,0.44588208298601895,-0.716,0.36791244699663084,0.980404497593844,0.6109338180239834,RISK_ON,1.0
2026-04-11,72972.70823557042,38358391003.667854,15.0,61.297444241611096,467.12184101158346,-168.57297243544917,635.6948134470326,14.6,0.01660854391157499,0.4182118345774888,-0.36596899507792985,0.09557867742634468,0.0162428340222164,1.5726612729264493,13203255774.076468,0.32760121402137304,0.29290640634305937,-0.24776437887561842,0.09012615547995484,0.553864276056869,-0.708,0.3504608140519367,0.999993128625772,0.674526880828949,RISK_ON,1.0
2026-04-12,73053.88808483821,23868132454.73879,16.0,61.50504493152437,673.5695172221021,-0.14447450393892222,673.7139917260411,15.6,0.0011118503022918985,0.40028762894280195,-0.44610844107886616,0.09668978652818426,0.016209594447996977,1.5942059815668588,13539196076.631115,0.3413645368654013,0.31815108521190677,-0.24692754033949604,0.08542757056773298,0.5780686776759493,-0.688,0.4186948945546502,0.9999942165118071,0.6928474349943561,RISK_ON,1.0
2026-04-13,70756.75105500016,30101377740.873566,12.0,52.863893101139695,644.3928678019874,128.76299395724635,515.629873844741,14.6,-0.03194940851786901,0.4213020667580477,-0.3443099706625435,0.07004135714735593,0.019066266302423952,0.9818041875379745,5465257252.968309,0.1416318925436725,0.17664944344539077,-0.27060746592030016,0.025675307847805362,0.34356515905254975,-0.708,0.3313197110877052,0.9992242453591954,0.3399886817506051,RANGE_BOUND,0.4
2026-04-14,74514.63006655,53329034805.473694,21.0,62.21599896900096,913.9639853565604,285.80319223710916,628.1607931194512,16.0,0.0517475295952281,0.43656435833406976,-0.27056694754899085,0.11080140900239038,0.02279737387925735,1.298961991519964,19569223943.431984,0.4945061526761074,0.31406482220753607,-0.23186955251796393,0.08205123570660322,0.5593103935999583,-0.68,0.2641523023774033,0.9999386293860401,0.8443870957535476,RISK_ON,1.0
2026-04-15,74181.10807228928,57684799834.52557,23.0,61.05811388890392,1088.1451407605055,446.27158194178844,641.873558818717,17.4,-0.004485973273346792,0.4363455711109969,-0.269136467679466,0.08359833101702972,0.022597062604250488,0.9887388533948076,3496914964.539261,0.08629062634889076,0.22232973343535886,-0.22392382095667274,0.030642130063186057,0.5471682208541315,-0.652,0.26282113420573633,0.9992660947805863,0.2124412188744736,RISK_ON,1.0
2026-04-16,74833.50639132406,33592871494.555107,23.0,62.527217281973115,1264.2545142819145,609.8681684098136,654.3863458721008,19.0,0.008756221525470667,0.4356147476354564,-0.2702094932513197,0.09444924476912202,0.022484933906711906,1.1226460597756531,14379325107.142962,0.3616185461850898,0.31553964109283833,-0.21653497319273152,0.05225790213786752,0.5775501255047082,-0.62,0.26381975858226403,0.9997485199877046,0.7182624110395375,RISK_ON,1.0
2026-04-17,75149.1930221427,44500754086.976234,21.0,63.24969485286691,1413.0074639234663,770.4960275125442,642.5114364109221,20.0,0.00420964682255491,0.40215169365185316,-0.42552735748986553,0.11640101392740138,0.02138433606937526,1.454778836302284,15123286610.001791,0.3813816248189552,0.3463040762191374,-0.20978377600241804,0.04707274649307602,0.5828960036813304,-0.6,0.40157669239360266,0.9999823556040002,0.7413427861006525,RISK_ON,1.0
2026-04-18,77128.44334858148,64762179077.35212,26.0,67.48272866622912,1671.3380634562782,950.664434701291,720.6736287549871,22.8,0.02599674965084308,0.36965033025081195,-0.5744146593181787,0.14168004462142264,0.021757546639153445,1.7403425720613515,18895256334.81383,0.4691966614647029,0.42305924107784354,-0.17732034810548059,0.05694916926469995,0.6916202502064382,-0.544,0.518594044518473,0.9999982033635756,0.8252288588906984,RISK_ON,1.0
2026-04-19,75728.45681761758,66292316931.16393,27.0,62.039381160191894,1743.0074074753938,1109.1330292561117,633.8743782192821,24.0,-0.01831812207058578,0.38377116665043204,-0.5057033363900229,0.11793062735382681,0.023039323656119663,1.3680213185304706,6015192136.827728,0.1469069235681582,0.30883683911865306,-0.18183109267495756,0.036610901936846574,0.5537122035756966,-0.52,0.4665906942322641,0.9999646792881524,0.35159914678587767,RISK_ON,1.0
2026-04-20,73856.05501487634,62221359441.72641,29.0,55.58185280164631,1629.9298846793827,1213.292400340766,416.63748433861656,25.2,-0.025036009154177936,0.40301128075855164,-0.413955274246344,0.0682212756732787,0.02414623266175521,0.7551034199289027,1426623322.4201791,0.034203365090880775,0.19499777862532985,-0.17427046458955175,0.04380223672886063,0.3271366155497586,-0.496,0.39182589023168907,0.9952521193595191,0.08530061681147372,RISK_ON,1.0
2026-04-21,75874.54629352967,48152404105.554855,33.0,60.37066848257941,1683.7809316727362,1307.39010660716,376.3908250655761,27.2,0.02696327336574366,0.4124631886953595,-0.36830735203114184,0.0969443189484305,0.024751980760355202,1.0467630582523084,687104651.0032022,0.016146080871441756,0.21095449951469497,-0.1517032171862518,0.018250325147761037,0.386985589409186,-0.456,0.35251028421708513,0.9995385736131848,0.040343293449324524,RISK_ON,1.0
2026-04-22,76350.25202878818,41231756234.27609,32.0,61.42616473949869,1744.731572082208,1394.8583997021697,349.87317238003834,29.4,0.006250062920795657,0.4060465866237073,-0.3964017349074912,0.059003858297964784,0.02231500491201023,0.7066744779362092,14818041232.260584,0.34527025517637544,0.3244796649857863,-0.1463847057156895,0.029241191091201824,0.3910474766403693,-0.41200000000000003,0.3768659454169374,0.9930133081577704,0.697890226383129,RISK_ON,1.0
2026-04-23,78194.78334884858,49815267208.000084,46.0,65.2868652656516,1919.744041557904,1499.8355280733167,419.9085134845873,33.4,0.02387160360646733,0.41174493473740426,-0.3689691679754643,0.09487544353524581,0.02236936176749623,1.1335383248647783,17135526334.181295,0.400104352705056,0.38200772822717605,-0.12545928013262475,0.04491673742972191,0.4927442974488776,-0.332,0.35308972532906435,0.9997695034523446,0.7617036978353429,RISK_ON,1.0
2026-04-24,78260.61998045091,41704798844.827675,39.0,65.4199002270144,2040.2365732514882,1607.9157371089511,432.320836142537,35.8,0.0008416025792313087,0.3987881370480989,-0.42817250416259334,0.08656757126422211,0.022411734074682346,1.0323233591975511,16736104156.7315,0.39038013893764417,0.4025853262640912,-0.12268031850956918,0.04140333160186338,0.5013265099136821,-0.28400000000000003,0.4037929132534151,0.9994820846179926,0.7513074907285028,RISK_ON,1.0
2026-04-25,77444.79563692068,33584952477.909107,31.0,62.23692107597749,2046.3089900716732,1695.5943877014956,350.71460237017754,36.2,-0.010479170630764633,0.40493524115577295,-0.3975590529205943,0.05947985672188249,0.022610860107893958,0.7030542093670067,2686513934.5513244,0.06281022872392542,0.28105196448102676,-0.13182589841165615,0.004101629367903259,0.40363249320290695,-0.27599999999999997,0.3778584586043065,0.9928087380293856,0.15574758016733914,RISK_ON,1.0
2026-04-26,77619.14219872655,17276677148.502968,33.0,62.6550947504119,2041.654808863197,1764.806471933836,276.84833692936104,36.2,0.0022487064072700077,0.4053690183138326,-0.39362112371319563,0.060616712826860604,0.022600767650885346,0.7168118446685117,14624941660.218027,0.3515049076321475,0.35390367088768715,-0.12987143306100235,0.02496664345957078,0.3727627665821476,-0.27599999999999997,0.3744777622404137,0.9935558006513626,0.7057987098618429,RISK_ON,1.0
2026-04-27,78645.12560170851,22944408006.92362,47.0,65.10402418580883,2096.5864789934276,1831.1624733457545,265.4240056476731,39.2,0.013131577175246103,0.3988804550522162,-0.4216666717784128,0.10569769851997571,0.020108284897239582,1.4048387676072598,26791479867.16803,0.6575836248657169,0.4178347743820249,-0.11836992141257119,0.06484330344841105,0.40961694656348746,-0.21599999999999994,0.39833358380687517,0.9999736903854987,0.9280239952274836,RISK_ON,1.0
2026-04-28,77361.29911038803,39453767786.252846,33.0,59.81801864341929,2013.3178795998829,1867.5935545965804,145.7243250033025,36.6,-0.01645900770853513,0.40884393124327667,-0.3753938295829162,0.03749116121621248,0.016518413640674533,0.6065918026602161,14276312454.05264,0.345928576358946,0.3154482040094844,-0.13235217990977743,0.019594882466996033,0.25385683313187385,-0.26799999999999996,0.35870060387389874,0.9845069528162781,0.6987334704426383,RISK_ON,1.0
2026-04-29,76345.22521002527,32683167166.924606,26.0,55.946374985020796,1844.080826717327,1862.8910090207298,-18.810182303402826,34.0,-0.013221152524612641,0.3787486108240093,-0.5182297606785486,0.028755981964946633,0.01696866594443473,0.4529147711157286,3717037682.452542,0.08951872246039544,0.19614816962873477,-0.09725841393727186,-6.583892822009663e-05,0.09826058007905794,-0.32,0.4763325817533963,0.9480001723703022,0.22013388324308422,RISK_ON,1.0
2026-04-30,75774.8855230121,42528290001.67072,29.0,53.83988005178143,1644.9753449909913,1819.3078762147823,-174.33253122379097,33.6,-0.007498579335984571,0.3759919674013227,-0.5346725958755879,0.012501181103491393,0.017030791829027878,0.196178851848602,-9474899061.786144,-0.22719698190918347,0.0059067713473751685,-0.09943803410017704,-0.03094704943475124,-0.022210548499282626,-0.32799999999999996,0.4889447389228017,0.6554049025499364,-0.5138834021583385,RANGE_BOUND,0.4
2026-05-01,76286.57710950871,31717874196.513115,26.0,55.460183142543265,1511.0535659801535,1757.6570141678567,-246.60344818770318,32.2,0.006730088071233193,0.3754071125074064,-0.5412586497907519,0.015021622352169677,0.017081794855262577,0.2350278456917219,-10901602582.973938,-0.26662742592115796,-0.0010339890899594348,-0.031498728058117265,-0.025223961571417486,-0.03002765920797089,-0.3559999999999999,0.49394012650938274,0.7352734233413368,-0.5827181587011742,RANGE_BOUND,0.4
2026-05-02,78172.07422147921,39070393404.50403,39.0,60.905765429815716,1539.31913761342,1713.9894388569694,-174.67030124354937,30.6,0.02441547636592542,0.381961385777556,-0.5162043576183953,0.013440349067252017,0.016908667600537677,0.21244041625941265,-522267456.9149203,-0.012854663143721487,0.10571047473240067,-0.0075612750961785435,0.009390929094424738,0.10890930426105981,-0.38799999999999996,0.47476521792449533,0.6909449376609474,-0.03212559922489133,RANGE_BOUND,0.4
2026-05-03,78655.34555331903,18618912381.93079,47.0,62.182039218669225,1582.4739892949292,1687.6863489445614,-105.21235964963216,33.4,0.006163116912183818,0.38201924236320545,-0.5215438238902325,0.03792158805002161,0.01600325777647486,0.633306721612568,-330519566.42523086,-0.008330469934231961,0.18422638667941582,-0.0014258720237870781,0.013349842902663278,0.16798611205681896,-0.332,0.4788906605818893,0.9874695242159088,-0.020823164381997192,RISK_ON,1.0
2026-05-04,78562.55051754859,21884574779.755363,40.0,61.76508099418125,1590.8484259150428,1668.3187643386577,-77.47033842361498,36.2,-0.0011804641693512973,0.3500877962458518,-0.6767529660721248,0.061777133034848254,0.013961661059043227,1.1825694111080256,-6734659964.522227,-0.17043899135836119,0.16141909096250592,-0.0011797676956047942,-0.0010499707836708616,0.17446666161380925,-0.27599999999999997,0.5894044283241973,0.999844285439733,-0.402054763908176,RANGE_BOUND,0.4
2026-05-05,79823.88555955577,55780483402.17884,50.0,65.18262424893513,1679.8995870064246,1670.6349288722113,9.264658134213278,40.4,0.015927648084101027,0.28934659346008496,-0.9651727007276069,0.05074150775320562,0.01285848843326545,1.0546526093648108,6870233062.396584,0.16898555397266718,0.35797900478817335,0.0,0.031832278897667265,0.28069026293379845,-0.19200000000000003,0.7465752913294769,0.999566791023774,0.39900409036697476,RISK_ON,1.0
2026-05-06,80925.09365495079,41115413343.941505,46.0,67.8817856518694,1818.3705204057478,1700.1820471789188,118.18847322682905,44.4,0.013701179659128133,0.2903738355978211,-0.9627402303286692,0.0581926244915381,0.013126928429942047,1.1847884426852549,17412887421.09174,0.42320049759003786,0.4665988265072889,0.0,0.05998893096885016,0.3835420774702768,-0.11200000000000003,0.7454966616175649,0.9998470251227884,0.784897668367686,RISK_ON,1.0
2026-05-07,81424.99515650333,41133090710.83387,47.0,69.05459838706977,1946.0151547267305,1749.3486686884812,196.66648603824933,46.0,0.006158334560970353,0.28982215495529967,-0.9676612665987816,0.040479355446041115,0.011874426207132393,0.9110808909507747,29364513237.163826,0.7161460198394558,0.5167341139806166,0.0,0.07456441002177883,0.443059584936074,-0.08,0.7476747486769181,0.9986344294680084,0.9457990785203695,RISK_ON,1.0
